symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
DOMS,trend_lowbeta,2025-01-03,2025-01-22,2762.008222260145,2462.710842440286,2447.961449880012,34,93908.27955684494,234.77069889211234,stop,13,-1.0492800590808755,-10912.360959816635,-0.11620233073497126
AEGISLOG,trend_lowbeta,2025-01-10,2025-01-24,821.5061506247397,672.4634992000338,672.4634992000338,69,56683.92439310704,141.7098109827676,stop,10,-1.0,-10425.652759287475,-0.18392609317211056
ZENTEC,trend_lowbeta,2025-01-17,2025-01-24,2216.9128466590787,1849.7704352684514,1849.7704352684514,28,62073.5597064542,155.1838992661355,stop,5,-1.0,-10435.171418203701,-0.16810976311897716
BLUESTARCO,trend_lowbeta,2025-01-10,2025-01-27,1906.4970839800822,1708.2559426368675,1708.2559426368675,51,97231.3512829842,243.07837820746047,stop,11,-1.0,-10353.376586711407,-0.10648187493125257
BSE,trend_lowbeta,2025-01-17,2025-01-27,2011.6721740340463,1797.1684847244396,1797.1684847244396,49,98571.93652766827,246.42984131917066,stop,6,-1.0,-10757.110617489898,-0.10912954534955771
TARIL,trend_lowbeta,2025-01-17,2025-01-28,514.8614798762457,436.18875834579046,432.3206890068646,134,68991.43830341692,172.4785957585423,stop,7,-1.049166588668583,-11232.944572255605,-0.16281650083673171
ZENTEC,trend_lowbeta,2025-01-24,2025-01-28,1801.5162050397405,1513.86488746252,1513.86488746252,35,63053.06717639092,157.6326679409773,stop,2,-1.0,-10225.428783143692,-0.1621717902245431
GVT&D,trend_lowbeta,2025-01-24,2025-02-12,1737.5079343519365,1522.424252118569,1522.424252118569,47,81662.87291454102,204.15718228635254,stop,14,-1.0,-10313.090247254622,-0.1262886043459078
ZENTEC,trend_lowbeta,2025-01-31,2025-02-12,1741.6321694505596,1392.9441068118522,1392.9441068118522,28,48765.700744615664,121.91425186153916,stop,9,-1.0,-9885.180005745346,-0.2027076378439367
NEULANDLAB,trend_lowbeta,2024-12-19,2025-02-14,14271.78376549031,12267.513108941268,12267.513108941268,5,71358.91882745155,178.39729706862886,stop,41,-1.0,-10199.75057981384,-0.1429358901089464
VIJAYA,trend_lowbeta,2025-02-13,2025-02-17,944.7838217172182,799.7070323665313,737.489459766332,66,62355.7322333364,155.889330583341,stop,2,-1.4288595913837319,-13837.317219341832,-0.2219093052674342
TARIL,trend_lowbeta,2025-01-31,2025-02-18,452.76220234028796,366.9202782927598,366.9202782927598,114,51614.89106679283,129.03722766698206,stop,13,-1.0,-9915.016569085192,-0.19209604755834037
GODFRYPHLP,trend_lowbeta,2025-01-17,2025-02-20,1424.7981694372825,1224.8349984485812,2007.422708765514,53,75514.30298017597,188.78575745043992,stop,25,2.9136592325851463,30690.31482694583,0.40641724303543736
CARTRADE,trend_lowbeta,2025-01-24,2025-02-24,1326.949951171875,1126.1548399373826,1435.0,50,66347.49755859375,165.86874389648438,stop,22,0.5381109538167095,5236.633697509766,0.0789273731520185
POLICYBZR,trend_lowbeta,2025-01-24,2025-02-27,1670.0,1464.23119671488,1464.23119671488,49,81830.0,204.57500000000002,stop,24,-1.0,-10287.246360970878,-0.1257148522665389
GVT&D,trend_lowbeta,2025-02-13,2025-02-28,1573.0173324597645,1324.162865252374,1324.162865252374,38,59774.65863347105,149.43664658367763,stop,10,-1.0,-9605.906400464512,-0.16070198676275915
DEEPAKFERT,trend_lowbeta,2025-02-20,2025-03-03,1055.1946602682465,888.1692714871863,888.1692714871863,57,60146.09563529005,150.3652390882251,stop,6,-1.0,-9670.812399608656,-0.16078869787741326
360ONE,trend_lowbeta,2025-01-31,2025-03-12,992.996824609775,833.0847695742295,833.0847695742295,61,60572.80630119627,151.43201575299068,stop,28,-1.0,-9906.067372921263,-0.16353984531711593
AEGISLOG,trend_lowbeta,2025-01-24,2025-04-07,659.4489474786415,529.7464294991563,688.9765668020375,78,51437.01790333403,128.5925447583351,stop,49,0.22765648488078216,2174.561762466556,0.04227620206430369
BLUESTARCO,trend_lowbeta,2025-01-31,2025-04-07,1820.682153105537,1564.3076376629276,1640.089605936316,38,69185.9218180104,172.96480454502603,stop,44,-0.7044091213880712,-7035.4815969754245,-0.10168949711303775
VIJAYA,trend_lowbeta,2025-02-20,2025-04-07,920.2174416641197,763.7850853456031,810.391338883973,61,56133.26394151131,140.33315985377828,stop,29,-0.7020676883273844,-6839.725429442727,-0.1218479908200146
GVT&D,trend_lowbeta,2025-02-28,2025-04-07,1314.3326842953752,1121.4771884103407,1266.538733001506,48,63087.96884617801,157.71992211544503,stop,24,-0.24782260455963492,-2451.8295842211674,-0.03886366337453744
CARTRADE,trend_lowbeta,2025-02-28,2025-04-07,1528.0,1263.7015166137194,1436.3120304857696,35,53480.0,133.7,stop,24,-0.34691069104708233,-3342.778932998064,-0.06250521565067435
DIVISLAB,trend_lowbeta,2025-02-28,2025-04-07,5433.005049847388,4957.493661574994,4912.283411928882,19,103227.09594710037,258.06773986775096,stop,24,-1.0950771122651086,-10151.778860319375,-0.09834412919570791
ERIS,trend_lowbeta,2025-03-07,2025-04-07,1258.8447159855639,1114.5036062122588,1091.3435221679192,64,80566.06182307609,201.41515455769022,stop,19,-1.1604538310721986,-10921.491558886948,-0.13555945657205706
KIMS,trend_lowbeta,2025-03-17,2025-04-07,595.5999755859375,529.020217739186,528.0499877929688,138,82192.79663085938,205.48199157714845,stop,14,-1.0145724463049337,-9527.380307006835,-0.11591502780706904
TARIL,trend_lowbeta,2025-02-20,2025-05-07,425.1236572265625,335.7386588155725,463.65768706653415,107,45488.23132324219,113.72057830810547,stop,47,0.4311017567264826,4009.4206145688613,0.08814193249409216
VIJAYA,trend_lowbeta,2025-04-08,2025-05-15,991.6243400744717,836.51618876351,893.7269001087576,56,55530.963044170414,138.82740761042604,stop,23,-0.6311559975300635,-5621.084045690413,-0.10122432130736313
NEULANDLAB,trend_lowbeta,2025-02-20,2025-05-26,11439.418228171011,9385.788359708262,11291.763671875,4,45757.672912684044,114.39418228171012,time,60,-0.07189930306503489,-705.0124074657538,-0.015407523210611614
DOMS,trend_lowbeta,2025-04-08,2025-05-26,2627.8439651571293,2266.6739898747364,2486.358722543381,24,63068.2551637711,157.67063790942777,stop,30,-0.3917414300652294,-3553.316460639383,-0.056340808088195665
COHANCE,trend_lowbeta,2025-04-08,2025-06-04,1080.0,921.9207627097137,1006.3091361529741,55,59400.0,148.5,stop,37,-0.46616409030178213,-4201.497511586423,-0.07073228133983876
NEULANDLAB,trend_lowbeta,2025-05-26,2025-06-26,11317.694159075574,10002.406965456772,11788.500220389482,6,67906.16495445344,169.76541238613362,stop,23,0.3579492475849022,2655.070955497313,0.039099115040263914
AEGISLOG,trend_lowbeta,2025-04-08,2025-07-01,765.8958812638521,634.2865297211661,731.4657290119762,66,50549.128163414236,126.37282040853559,stop,56,-0.2616087067392684,-2398.76286903234,-0.04745408983667663
ERIS,trend_lowbeta,2025-04-08,2025-07-07,1302.8089013408796,1122.2764151064823,1724.74462890625,48,62534.82726436222,156.33706816090555,time,60,2.337173416077277,20096.577854976873,0.3213661688073399
CARTRADE,trend_lowbeta,2025-04-08,2025-07-07,1524.4000244140625,1271.4227859409345,1698.5999755859375,34,51829.600830078125,129.57400207519532,time,60,0.6885993072866082,5793.2243377685545,0.1117744347821909
DIVISLAB,trend_lowbeta,2025-04-08,2025-07-07,5254.309098087316,4825.194310627541,6829.11474609375,20,105086.18196174632,262.7154549043658,time,60,3.669893683526479,31233.39750522432,0.29721697869462954
FORTIS,trend_lowbeta,2025-04-08,2025-07-07,647.4466642620389,574.7598156039635,804.19482421875,120,77693.59971144467,194.23399927861166,time,60,2.1564858409815875,18615.545195526724,0.23960204269933652
COROMANDEL,trend_lowbeta,2025-05-26,2025-07-08,2378.9172202741806,2154.3087400807926,2169.051523222485,38,90398.85437041886,225.99713592604715,stop,31,-0.934362304001173,-8200.89362389049,-0.09071899949402523
FORTIS,trend_lowbeta,2025-07-07,2025-07-11,804.2446521817695,755.9951148234792,755.9951148234792,194,156023.4625232633,390.0586563081583,stop,4,-1.0,-9750.468903816487,-0.06249360670586759
ASTERDM,trend_lowbeta,2025-05-12,2025-07-21,544.7022733571823,499.7870208258022,582.2131572811231,195,106216.94330465056,265.5423582616264,stop,50,0.8351480134222501,7049.080006906831,0.06636492999698473
CEMPRO,trend_lowbeta,2025-07-14,2025-07-25,864.5251211064154,767.4352034299892,767.4352034299892,95,82129.88650510946,205.32471626277365,stop,9,-1.0,-9428.866895523266,-0.11480433368109766
COHANCE,trend_lowbeta,2025-06-09,2025-08-01,1028.0,925.1495490791426,954.4093687107996,84,86352.0,215.88,stop,39,-0.7155110223661321,-6397.49302829283,-0.07408621720739335
RADICO,trend_lowbeta,2025-05-19,2025-08-06,2599.2549185957478,2382.5321328473033,2605.194107079975,40,103970.1967438299,259.9254918595748,stop,57,0.027404541076363108,-22.357952490491243,-0.00021504193692716152
NH,trend_lowbeta,2025-07-07,2025-08-06,1980.9337425164451,1761.2065455934357,1761.2065455934357,42,83199.2171856907,207.99804296422673,stop,22,-1.0,-9436.540313730622,-0.11342102285252749
CCL,trend_lowbeta,2025-06-30,2025-09-24,833.5331567546411,761.2890071381796,914.2764892578125,120,100023.97881055693,250.05994702639234,time,60,1.1176452755251647,9439.139953354172,0.09436877102471279
ERIS,trend_lowbeta,2025-07-07,2025-09-29,1720.8654599251593,1551.8991440072984,1564.9200076649054,55,94647.60029588376,236.6190007397094,stop,58,-0.9229381099607052,-8813.618875053673,-0.0931203627720182
BHARTIHEXA,trend_lowbeta,2025-07-14,2025-09-29,1733.1770516716185,1569.0449374390219,1609.5775364380681,56,97057.91489361064,242.64478723402658,stop,53,-0.7530489435991405,-7164.217640312849,-0.07381384246885848
FORTIS,trend_lowbeta,2025-07-14,2025-10-09,780.5478510590999,730.0364790793485,1067.71728515625,182,142059.70889275617,355.14927223189045,time,60,5.685243200526572,51909.68773344943,0.365407532776497
ASTERDM,trend_lowbeta,2025-07-21,2025-10-16,585.1076755721243,538.8427577659008,696.300048828125,200,117021.53511442487,292.55383778606216,time,60,2.403384216993967,21945.920813414075,0.18753745446900116
CEMPRO,trend_lowbeta,2025-07-28,2025-10-24,725.2380883680003,637.7071940076798,797.60888671875,105,76149.99927864003,190.37499819660007,time,60,0.8268029120419559,7408.558828632123,0.09728902033896951
KPRMILL,trend_lowbeta,2025-08-04,2025-10-31,1039.8055287099255,926.6682314472428,1064.084228515625,80,83184.44229679403,207.96110574198508,time,60,0.21459501325481622,1734.334878713974,0.02084926977722631
