symbol,model,date,exit_date,entry,stop,exit,qty,value,cost,exit_reason,hold_days,r_multiple,pnl,pct
HCLTECH,momentum,2025-01-10,2025-01-14,1853.237728643335,1790.3180601821987,1790.3180601821987,107,198296.43696483684,495.74109241209214,stop,2,-1.0,-7228.145617753679,-0.03645121278218135
FORTIS,momentum,2024-12-27,2025-01-15,684.4136558288933,648.0186071852711,648.0186071852711,280,191635.82363209012,479.0895590802253,stop,13,-1.0,-10669.703179294442,-0.05567697613666718
BSE,momentum,2025-01-17,2025-01-22,2011.6721740340463,1873.524723647042,1873.524723647042,68,136793.70783431514,341.98426958578784,stop,3,-1.0,-9736.010895902076,-0.07117294391708685
COROMANDEL,momentum,2025-01-17,2025-01-22,1852.7246297885317,1775.4638513159512,1775.4638513159512,102,188977.91223843023,472.4447805960756,stop,3,-1.0,-8353.044184799293,-0.04420116661179111
CHOICEIN,momentum,2025-01-17,2025-01-24,545.8499755859375,519.1971999045171,519.1971999045171,347,189409.9415283203,473.5248538208008,stop,5,-1.0,-9722.038015273678,-0.05132802395073889
BIOCON,momentum,2025-01-17,2025-01-27,394.0013919299224,372.9130263829821,372.9130263829821,450,177300.62636846508,443.2515659211627,stop,6,-1.0,-9933.016062044315,-0.05602358133468509
ASTERDM,momentum,2025-01-17,2025-01-27,490.4246364415528,469.00573856154847,469.00573856154847,387,189794.33430288095,474.4858357572024,stop,6,-1.0,-8763.599315318887,-0.046174188220674726
LLOYDSME,momentum,2025-01-24,2025-01-27,1365.1632751070867,1294.278885589761,1294.278885589761,130,177471.22576392128,443.6780644098032,stop,1,-1.0,-9658.648701662138,-0.05442374480756912
BSE,momentum,2025-01-24,2025-01-27,1892.0323019293287,1818.8369758205802,1818.8369758205802,97,183527.13328714488,458.81783321786224,stop,1,-1.0,-7558.76446576647,-0.04118608693102668
ITI,reversal,2025-01-03,2025-01-28,473.3999938964844,311.39597516962135,311.39597516962135,63,29824.199615478516,74.56049903869629,stop,17,-1.0,-10280.813678831068,-0.3447138166784335
ZENSARTECH,momentum,2025-01-24,2025-01-28,796.7289199107366,745.0109620039234,745.0109620039234,178,141817.7477441111,354.5443693602778,stop,2,-1.0,-9560.340876773034,-0.06741286636439353
BAJFINANCE,momentum,2025-01-31,2025-02-05,778.3826029398437,746.830816800922,841.486175217687,222,172800.9378526453,432.00234463161325,target,4,2.0,13576.990701049608,0.07857012160794685
WOCKPHARMA,momentum,2025-02-06,2025-02-10,1649.0,1523.270170036841,1523.270170036841,69,113781.0,284.4525,stop,2,-1.0,-8959.810767457977,-0.07874610670901097
SARDAEN,momentum,2025-01-31,2025-02-11,466.3359251909655,439.6731411854806,439.6731411854806,324,151092.83976187283,377.7320994046821,stop,8,-1.0,-9016.474117181797,-0.05967505893324958
BSE,momentum,2025-02-06,2025-02-11,1822.767249010343,1724.1402805564462,1724.1402805564462,89,162226.28516192053,405.56571290480133,stop,3,-1.0,-9183.365905301614,-0.05660837204116187
KIMS,momentum,2025-01-31,2025-02-14,609.2000122070312,576.0120526044052,576.0120526044052,260,158392.00317382812,395.9800079345703,stop,11,-1.0,-9024.849504617343,-0.05697793653580462
ACUTAAS,momentum,2025-01-31,2025-02-14,1190.8375881628158,1093.2106713049818,1093.2106713049818,88,104793.70775832779,261.98426939581947,stop,11,-1.0,-8853.15295288521,-0.08448172263645919
MUTHOOTFIN,momentum,2025-02-13,2025-02-17,2279.5911356237016,2164.491503460493,2164.491503460493,74,168689.74403615392,421.72436009038483,stop,2,-1.0,-8939.097140167833,-0.05299134924439738
NAVINFLUOR,momentum,2025-01-31,2025-02-24,4105.745272941385,3897.982949238709,3897.982949238709,41,168335.5561905968,420.838890476492,stop,17,-1.0,-8939.094162286226,-0.053102828449178005
